filename,fc,ml,cc
CustomIndexTest.java,15,626,75
NEWS.txt,158,1339,0
CQL.textile,30,355,0
cql3handling.py,24,273,224
Cql.g,12,264,0
AbstractFunction.java,3,17,18
AggregateFcts.java,9,912,83
CastFcts.java,5,395,34
Function.java,2,10,0
FunctionResolver.java,1,4,28
AbstractFunctionSelector.java,3,41,12
Selectable.java,6,463,33
CastFctsTest.java,3,336,7
AggregationTest.java,19,697,42
StorageServiceServerTest.java,5,28,23
RepairOption.java,7,99,41
ActiveRepairService.java,22,408,105
RepairOptionTest.java,5,80,6
SchemaLoader.java,20,438,55
CQLTester.java,35,691,312
FileUtils.java,17,453,123
FileUtilsTest.java,5,75,2
AlterTableStatement.java,22,748,72
RandomAccessReader.java,7,503,45
FileMessageHeader.java,5,77,35
IncomingFileMessage.java,3,26,5
OutgoingFileMessage.java,5,59,15
CompressedInputStreamTest.java,7,264,17
CorruptSSTableException.java,2,6,2
WrappingCompactionStrategy.java,1,15,83
LeveledCompactionStrategyTest.java,13,489,77
NetworkTopologyStrategy.java,7,291,33
TokenMetadata.java,11,877,177
NetworkTopologyStrategyTest.java,2,220,49
cqlsh,16,753,0
copy.py,1,644,123
displaying.py,3,12,17
formatting.py,19,759,67
cassandra.yaml,51,746,0
sstableloader,4,41,0
ColumnIndex.java,25,771,48
AbstractCompactionStrategy.java,19,165,84
CompactionStrategyManager.java,26,1937,139
DefaultCompactionWriter.java,4,37,6
MajorLeveledCompactionWriter.java,6,88,7
MaxSSTableSizeWriter.java,7,79,8
SplittingSizeTieredCompactionWriter.java,5,29,9
AbstractSSTableSimpleWriter.java,5,96,24
SSTableFlushObserver.java,4,77,0
SSTableWriter.java,9,154,27
BigFormat.java,8,66,37
BigTableWriter.java,21,285,55
RowIndexEntryTest.java,7,799,82
ScrubTest.java,11,198,55
SSTableFlushObserverTest.java,5,262,16
DateTieredCompactionStrategy.java,12,125,66
DateTieredCompactionStrategyOptions.java,4,46,23
DateTieredCompactionStrategyTest.java,4,47,22
jvm.options,8,181,0
ColumnFamilyRecordReader.java,1,35,98
CqlConfigHelper.java,5,100,112
idea-iml-file.xml,12,121,0
Project_Default.xml,1,39,0
misc.xml,1,4,0
vcs.xml,1,6,0
workspace.xml,7,378,0
UFTest.java,17,3732,46
CommitLog.java,21,440,63
CompressedInputStream.java,8,233,20
SecondaryIndexBuilder.java,3,63,6
CassandraIndex.java,13,225,124
CollatedViewIndexBuilder.java,1,78,5
CustomCassandraIndex.java,5,26,92
KeyspaceParams.java,3,25,14
ReplicationParams.java,1,15,15
LegacySchemaMigratorTest.java,12,256,55
PrimaryKeyRestrictionSet.java,10,604,77
RestrictionSet.java,10,315,56
MultiCBuilder.java,3,453,66
BTreeSet.java,2,5,119
MigrationManager.java,18,425,107
MigrationTask.java,4,155,0
SettingsMode.java,4,57,28
JavaDriverClient.java,6,92,35
CleanupTest.java,5,223,19
Json.java,8,114,45
QueryOptions.java,8,165,79
QueryProcessor.java,24,477,108
AlterKeyspaceStatement.java,4,15,12
AlterTypeStatement.java,8,155,63
AlterViewStatement.java,3,20,10
CreateAggregateStatement.java,7,66,46
CreateFunctionStatement.java,4,31,30
CreateIndexStatement.java,13,82,50
CreateKeyspaceStatement.java,5,25,13
CreateTableStatement.java,10,81,76
CreateTriggerStatement.java,3,14,8
CreateTypeStatement.java,6,51,21
CreateViewStatement.java,23,188,59
DropAggregateStatement.java,3,24,28
DropFunctionStatement.java,4,29,32
DropIndexStatement.java,4,49,13
